Paragraphs,1859 tokens,1860 tokens,total tokens,EE time,HE time,EE vs HE
1,193,194,387,579.78,456.13,127.11%
2,232,233,465,726.72,593.15,122.52%
3,679,683,1362,4909.34,5576.78,88.03%
4,772,777,1549,6649.46,7907.39,84.09%
5,810,815,1625,7113.30,7934.86,89.65%
6,942,947,1889,9839.23,10877.44,90.46%
7,1187,1193,2380,16045.75,18487.85,86.79%
8,1363,1369,2732,22128.54,25354.76,87.28%
9,1583,1589,3172,30649.80,36941.59,82.97%
10,1676,1682,3358,34737.72,39240.80,88.52%
11,1908,1912,3820,45419.14,53596.64,84.74%
12,2233,2239,4472,67714.14,70821.35,95.61%
13,2659,2663,5322,96157.29,103138.17,93.23%
14,2966,2974,5940,126676.50,138079.87,91.74%
15,3147,3126,6273,145853.59,146487.75,99.57%
